date,max temp,min temp
2025-12-20,-12.8,-23.5
2025-12-21,-9.2,-23.1
2025-12-22,-20.2,-25.3
2025-12-23,-4.3,-21.6
2025-12-24,-13.6,-20.8
2025-12-25,-12.7,-21.2
2025-12-26,-10.4,-19.7
2025-12-27,-12.9,-22.3
2025-12-28,-3.4,-24.7
2025-12-29,3.0,-5.7
2025-12-30,8.4,-0.2
2025-12-31,6.9,-5.6
2026-01-01,3.9,-7.5
2026-01-02,-6.3,-9.6
2026-01-03,-8.6,-13.5
2026-01-04,-9.5,-15.2
2026-01-05,-11.2,-17.5
2026-01-06,2.6,-15.3
2026-01-07,1.3,-5.5
2026-01-08,0.8,-10.9
2026-01-09,3.1,-14.9
2026-01-10,10.0,0.3
2026-01-11,8.6,4.1
2026-01-12,10.0,3.1
2026-01-13,12.2,3.5
2026-01-14,15.9,1.8
2026-01-15,9.4,-0.9
2026-01-16,1.2,-10.1
2026-01-17,11.9,-10.1
2026-01-18,5.7,-5.3
2026-01-19,3.3,-9.9
